Random Selection Percentage: 30.00%
Climate: Cold
Generation,Average Hot Fitness,Average Cold Fitness,Fittest Hot,Fittest Cold
0,8.30,11.70,19,20
1,9.07,10.93,18,20
2,7.87,12.13,18,20
3,10.27,9.73,19,20
4,11.97,8.03,19,19
5,8.77,11.23,19,20
6,9.97,10.03,18,20
7,10.93,9.07,19,19
8,10.63,9.37,19,19
9,10.33,9.67,19,20
10,10.10,9.90,19,20
11,8.53,11.47,19,19
12,10.40,9.60,19,20
13,8.73,11.27,19,20
14,8.40,11.60,18,20
15,9.40,10.60,19,20
16,8.73,11.27,19,20
17,9.13,10.87,19,20
18,9.67,10.33,19,20
19,8.83,11.17,19,20
20,10.80,9.20,19,20
21,11.10,8.90,19,19
22,10.73,9.27,19,20
23,9.37,10.63,19,19
24,8.87,11.13,18,20
25,9.73,10.27,19,20
26,8.67,11.33,19,20
27,12.07,7.93,19,20
28,10.23,9.77,19,18
29,9.57,10.43,19,19
